image_path,augmented_image_path,caption,augmented_caption
images_folder/2530.jpg,images_folder/2530_aug.jpg,Three brown bears beside each other with a blue background,Three blue bears beside each other with a brown background
images_folder/2547.jpg,images_folder/2547_aug.jpg,A sleeping grey husky wearing a green bandana .,A sleeping green husky wearing a grey bandana .
images_folder/2564.jpg,images_folder/2564_aug.jpg,A white glass horse wearing a blue bit .,A blue glass horse wearing a white bit .
images_folder/2568.jpg,images_folder/2568_aug.jpg,A brown horse standing next to a white truck .,A white horse standing next to a brown truck .
images_folder/2800.jpg,images_folder/2800_aug.jpg,A nearly all white colored bedroom with a brown wooden floor .,A nearly all brown colored bedroom with a white wooden floor .
images_folder/2982.jpg,images_folder/2982_aug.jpg,A red teddy bear sitting behind a white bear .,A white teddy bear sitting behind a red bear .
images_folder/3166.jpg,images_folder/3166_aug.jpg,A white toilet with a black colored seat .,A black toilet with a white colored seat .
images_folder/3432.jpg,images_folder/3432_aug.jpg,A white truck parked next to a black car .,A black truck parked next to a white car .
images_folder/3445.jpg,images_folder/3445_aug.jpg,a black bear standing over a purple bag .,a purple bear standing over a black bag .
images_folder/3446.jpg,images_folder/3446_aug.jpg,an orange cat laying on a yellow blanket sleeping .,an yellow cat laying on a orange blanket sleeping .
images_folder/3467.jpg,images_folder/3467_aug.jpg,some black suitcases standing by a white fence,some white suitcases standing by a black fence
images_folder/3863.jpg,images_folder/3863_aug.jpg,A few sliced of olive pizza sitting on a white plate .,A few sliced of white pizza sitting on a olive plate .
images_folder/4158.jpg,images_folder/4158_aug.jpg,A white car sits near a green parking meter .,A green car sits near a white parking meter .
images_folder/4159.jpg,images_folder/4159_aug.jpg,Black cat with green eyes sitting in a bathroom sink .,green cat with Black eyes sitting in a bathroom sink .
images_folder/4172.jpg,images_folder/4172_aug.jpg,A white toilet is very close to a beige wall .,A beige toilet is very close to a white wall .
images_folder/4219.jpg,images_folder/4219_aug.jpg,A white small plane flying over a lush green field .,A green small plane flying over a lush white field .
images_folder/4259.jpg,images_folder/4259_aug.jpg,There is a pink fire hydrant with a black hat .,There is a black fire hydrant with a pink hat .
images_folder/4270.jpg,images_folder/4270_aug.jpg,A yellow fire hydrant is in the white snow .,A white fire hydrant is in the yellow snow .
images_folder/4291.jpg,images_folder/4291_aug.jpg,A yellow fire hydrant sitting next to brown trees .,A brown fire hydrant sitting next to yellow trees .
images_folder/4311.jpg,images_folder/4311_aug.jpg,there is a orange street sign with a white sign underneath,there is a white street sign with a orange sign underneath
images_folder/4397.jpg,images_folder/4397_aug.jpg,A green dump truck sitting next to a yellow tractor .,A yellow dump truck sitting next to a green tractor .
images_folder/4634.jpg,images_folder/4634_aug.jpg,A white plate topped with a cheesy green pizza .,A green plate topped with a cheesy white pizza .
images_folder/4667.jpg,images_folder/4667_aug.jpg,Cut green broccoli florets in a white serving bowl .,Cut white broccoli florets in a green serving bowl .
images_folder/5050.jpg,images_folder/5050_aug.jpg,Several white colored stuffed animals wearing black shirts .,Several black colored stuffed animals wearing white shirts .
images_folder/5316.jpg,images_folder/5316_aug.jpg,A red fire hydrant sitting on a muddy green hillside .,A green fire hydrant sitting on a muddy red hillside .
images_folder/5446.jpg,images_folder/5446_aug.jpg,A white cat sits under a black open umbrella .,A black cat sits under a white open umbrella .
images_folder/6039.jpg,images_folder/6039_aug.jpg,there is a yellow notebook on a black desk,there is a black notebook on a yellow desk
images_folder/6049.jpg,images_folder/6049_aug.jpg,A red clock tower towering over a lush green park .,A green clock tower towering over a lush red park .
images_folder/6117.jpg,images_folder/6117_aug.jpg,some cute pink flowers sitting in a red watering can,some cute red flowers sitting in a pink watering can
images_folder/6125.jpg,images_folder/6125_aug.jpg,Shiny silver tools are sitting inside a black case .,Shiny black tools are sitting inside a silver case .
images_folder/6217.jpg,images_folder/6217_aug.jpg,A large yellow walled bathroom with white curtains,A large white walled bathroom with yellow curtains
images_folder/6225.jpg,images_folder/6225_aug.jpg,A white train colliding with a black car .,A black train colliding with a white car .
images_folder/6253.jpg,images_folder/6253_aug.jpg,A black dog drinking from a white toilet .,A white dog drinking from a black toilet .
images_folder/6307.jpg,images_folder/6307_aug.jpg,a yellow plane flying in a blue sky .,a blue plane flying in a yellow sky .
images_folder/6386.jpg,images_folder/6386_aug.jpg,A black fire hydrant with a yellow top .,A yellow fire hydrant with a black top .
images_folder/6394.jpg,images_folder/6394_aug.jpg,A very cute black dog by a yellow fire hydrant .,A very cute yellow dog by a black fire hydrant .
images_folder/6546.jpg,images_folder/6546_aug.jpg,A black cat laying underneath a green chair .,A green cat laying underneath a black chair .
images_folder/6592.jpg,images_folder/6592_aug.jpg,A large gray elephant with huge white tusk .,A large white elephant with huge gray tusk .
images_folder/6700.jpg,images_folder/6700_aug.jpg,A brown horse standing on a lush green field .,A green horse standing on a lush brown field .
images_folder/6914.jpg,images_folder/6914_aug.jpg,a white woman with a blue surf board,a blue woman with a white surf board
images_folder/7120.jpg,images_folder/7120_aug.jpg,Two pink flowers sit in a light blue vase .,Two blue flowers sit in a light pink vase .
images_folder/7220.jpg,images_folder/7220_aug.jpg,a black bike rests against a brown bed,a brown bike rests against a black bed
images_folder/7243.jpg,images_folder/7243_aug.jpg,A white urinal in a small red tiled bathroom .,A red urinal in a small white tiled bathroom .
images_folder/7274.jpg,images_folder/7274_aug.jpg,a tan toilet sitting by a mint green wall,a green toilet sitting by a mint tan wall
images_folder/7478.jpg,images_folder/7478_aug.jpg,A brown bird has a small yellow head .,A yellow bird has a small brown head .
images_folder/7499.jpg,images_folder/7499_aug.jpg,a white crossing sign above a yellow button,a yellow crossing sign above a white button
images_folder/7578.jpg,images_folder/7578_aug.jpg,Several black cows laying in the green grass .,Several green cows laying in the black grass .
images_folder/7663.jpg,images_folder/7663_aug.jpg,Two black bears climbing up a lush green tree .,Two green bears climbing up a lush black tree .
images_folder/7717.jpg,images_folder/7717_aug.jpg,A brown horse standing in a lush green field .,A green horse standing in a lush brown field .
images_folder/8119.jpg,images_folder/8119_aug.jpg,An orange keychain is next to a red camera .,An red keychain is next to a orange camera .
images_folder/8156.jpg,images_folder/8156_aug.jpg,A white clock tower with a clear blue sky .,A blue clock tower with a clear white sky .
images_folder/8248.jpg,images_folder/8248_aug.jpg,A white tiled bathroom with black counter top .,A black tiled bathroom with white counter top .
images_folder/8354.jpg,images_folder/8354_aug.jpg,A red bench sitting next to a   white umbrella .,A white bench sitting next to a   red umbrella .
images_folder/8375.jpg,images_folder/8375_aug.jpg,Four white sheep grazing in a green pasture .,Four green sheep grazing in a white pasture .
images_folder/8398.jpg,images_folder/8398_aug.jpg,A green mail box sitting next to a white brick building .,A white mail box sitting next to a green brick building .
images_folder/8424.jpg,images_folder/8424_aug.jpg,A white fire hydrant next to a red newspaper dispenser .,A red fire hydrant next to a white newspaper dispenser .
images_folder/8440.jpg,images_folder/8440_aug.jpg,The orange legs are striking on this drab brown bird .,The brown legs are striking on this drab orange bird .
images_folder/8572.jpg,images_folder/8572_aug.jpg,A brown horse standing next to a blue car .,A blue horse standing next to a brown car .
images_folder/8601.jpg,images_folder/8601_aug.jpg,A grey tabby kitten inside a black suit case .,A black tabby kitten inside a grey suit case .
images_folder/9071.jpg,images_folder/9071_aug.jpg,Bright red flowers are in a brown vase .,Bright brown flowers are in a red vase .
images_folder/9125.jpg,images_folder/9125_aug.jpg,A teddy bear wearing a blue jumpsuit lays on a gray carpet .,A teddy bear wearing a gray jumpsuit lays on a blue carpet .
images_folder/9262.jpg,images_folder/9262_aug.jpg,A red stop sign sitting under lush green trees .,A green stop sign sitting under lush red trees .
images_folder/9415.jpg,images_folder/9415_aug.jpg,A red fire hydrant sitting in a lush green field .,A green fire hydrant sitting in a lush red field .
images_folder/9427.jpg,images_folder/9427_aug.jpg,A white bus parked next to a lush green park .,A green bus parked next to a lush white park .
images_folder/9454.jpg,images_folder/9454_aug.jpg,A yellow caution sign is posted on a grey wall .,A grey caution sign is posted on a yellow wall .
images_folder/9460.jpg,images_folder/9460_aug.jpg,A small blue bird perched on a green plant .,A small green bird perched on a blue plant .
images_folder/9492.jpg,images_folder/9492_aug.jpg,a yellow train pulling up to a black train,a black train pulling up to a yellow train
images_folder/9517.jpg,images_folder/9517_aug.jpg,Two yellow Metro passenger trains going under a red steel bridge .,Two red Metro passenger trains going under a yellow steel bridge .
images_folder/9627.jpg,images_folder/9627_aug.jpg,A small grey cat laying on brown pillow .,A small brown cat laying on grey pillow .
images_folder/9814.jpg,images_folder/9814_aug.jpg,A brown horse poses on a very green grassy field .,A green horse poses on a very brown grassy field .
images_folder/10103.jpg,images_folder/10103_aug.jpg,A green para sale on a blue sky background .,A blue para sale on a green sky background .
images_folder/10358.jpg,images_folder/10358_aug.jpg,A small gray kitten sitting in a blue bowl,A small blue kitten sitting in a gray bowl
images_folder/10359.jpg,images_folder/10359_aug.jpg,A grey cat sitting inside a blue bowl,A blue cat sitting inside a grey bowl
images_folder/10378.jpg,images_folder/10378_aug.jpg,A yellow striped sea plane sitting atop very blue water .,A blue striped sea plane sitting atop very yellow water .
images_folder/10556.jpg,images_folder/10556_aug.jpg,A green train engine next to a yellow train car .,A yellow train engine next to a green train car .
images_folder/10627.jpg,images_folder/10627_aug.jpg,A black steer standing next to a brown steer lying down .,A brown steer standing next to a black steer lying down .
images_folder/11240.jpg,images_folder/11240_aug.jpg,A blue shelf holds different sized silver vases .,A silver shelf holds different sized blue vases .
images_folder/11292.jpg,images_folder/11292_aug.jpg,A blue hue covers this mostly white kitchen .,A white hue covers this mostly blue kitchen .
images_folder/11337.jpg,images_folder/11337_aug.jpg,A red bathroom mirror sitting next to a white toilet .,A white bathroom mirror sitting next to a red toilet .
images_folder/11361.jpg,images_folder/11361_aug.jpg,A red motorcycle is parked in between white lines .,A white motorcycle is parked in between red lines .
images_folder/11475.jpg,images_folder/11475_aug.jpg,Long white passenger bus passing by a yellow taxi .,Long yellow passenger bus passing by a white taxi .
images_folder/11491.jpg,images_folder/11491_aug.jpg,A brown wooden bench sitting in a nice green park .,A green wooden bench sitting in a nice brown park .
images_folder/11501.jpg,images_folder/11501_aug.jpg,a blue and silver   fire hydrant in a green field .,a green and silver   fire hydrant in a blue field .
images_folder/11544.jpg,images_folder/11544_aug.jpg,a large group black faced sheep with one or two white faced sheep,a large group white faced sheep with one or two black faced sheep
images_folder/11620.jpg,images_folder/11620_aug.jpg,A blue metallic parking meter with a yellow number six .,A yellow metallic parking meter with a blue number six .
images_folder/11672.jpg,images_folder/11672_aug.jpg,Several white cows standing together next to one brown cow .,Several brown cows standing together next to one white cow .
images_folder/11737.jpg,images_folder/11737_aug.jpg,A brown dog playing with a blue ball toy .,A blue dog playing with a brown ball toy .
images_folder/11754.jpg,images_folder/11754_aug.jpg,A brown curly haired dog chasing after a red frisbee,A red curly haired dog chasing after a brown frisbee
images_folder/11840.jpg,images_folder/11840_aug.jpg,Many yellow bananas are arranged on a blue display case .,Many blue bananas are arranged on a yellow display case .
images_folder/11959.jpg,images_folder/11959_aug.jpg,A single brown donut on a white napkin,A single white donut on a brown napkin
images_folder/12191.jpg,images_folder/12191_aug.jpg,Pink flowers contained in a brown vase outside .,brown flowers contained in a Pink vase outside .
images_folder/12243.jpg,images_folder/12243_aug.jpg,"Pink, yellow, and green flowers in a brown vase .","Pink yellow and brown flowers in a green vase ."
images_folder/12340.jpg,images_folder/12340_aug.jpg,A white toilet sitting up against a yellow wall .,A yellow toilet sitting up against a white wall .
images_folder/12413.jpg,images_folder/12413_aug.jpg,A yellow motorcycle is parked next to a blue motorcycle .,A blue motorcycle is parked next to a yellow motorcycle .
images_folder/12539.jpg,images_folder/12539_aug.jpg,White sheep are grazing in a green field .,green sheep are grazing in a White field .
images_folder/12590.jpg,images_folder/12590_aug.jpg,A wooly black - faced sheep in a windy green pasture .,A wooly green - faced sheep in a windy black pasture .
images_folder/12716.jpg,images_folder/12716_aug.jpg,A pink bow tie featuring small blue sailboats .,A blue bow tie featuring small pink sailboats .
images_folder/12778.jpg,images_folder/12778_aug.jpg,A purple umbrella lying on the green water .,A green umbrella lying on the purple water .
images_folder/13352.jpg,images_folder/13352_aug.jpg,A red bike is leaning against a blue wall,A blue bike is leaning against a red wall
images_folder/13456.jpg,images_folder/13456_aug.jpg,A red traffic light is above a blue arrow sign .,A blue traffic light is above a red arrow sign .
images_folder/13487.jpg,images_folder/13487_aug.jpg,A lone red fire hydrant stands firm among the green grass .,A lone green fire hydrant stands firm among the red grass .
images_folder/13549.jpg,images_folder/13549_aug.jpg,A gray bird is standing on small brown branch .,A brown bird is standing on small gray branch .
images_folder/13603.jpg,images_folder/13603_aug.jpg,A white chair sitting next to a black cat .,A black chair sitting next to a white cat .
images_folder/13639.jpg,images_folder/13639_aug.jpg,a white shirt a red tie and some black shoes,a black shirt a red tie and some white shoes
images_folder/13759.jpg,images_folder/13759_aug.jpg,A brown dog trying to hump a black dog .,A black dog trying to hump a brown dog .
images_folder/13835.jpg,images_folder/13835_aug.jpg,A white horse running next to a brown horse .,A brown horse running next to a white horse .
images_folder/14447.jpg,images_folder/14447_aug.jpg,A large orange cat sitting in a white glass bowl .,A large white cat sitting in a orange glass bowl .
images_folder/14562.jpg,images_folder/14562_aug.jpg,White sheep graze and rest in a green field .,green sheep graze and rest in a White field .
images_folder/14570.jpg,images_folder/14570_aug.jpg,two grey birds sitting on a brown stick,two brown birds sitting on a grey stick
images_folder/14573.jpg,images_folder/14573_aug.jpg,A round blue street sign with a white arrow .,A round white street sign with a blue arrow .
images_folder/14623.jpg,images_folder/14623_aug.jpg,A red stop sign sitting next to a green street sign .,A green stop sign sitting next to a red street sign .
images_folder/14848.jpg,images_folder/14848_aug.jpg,Delicate blue flowers sit in an orange vase .,Delicate orange flowers sit in an blue vase .
images_folder/15082.jpg,images_folder/15082_aug.jpg,A large white bed in a red room,A large red bed in a white room
images_folder/15121.jpg,images_folder/15121_aug.jpg,a long blue couch sitting by a white wall,a long white couch sitting by a blue wall
images_folder/15265.jpg,images_folder/15265_aug.jpg,A blue vase filled with an orange flower .,A orange vase filled with an blue flower .
images_folder/15270.jpg,images_folder/15270_aug.jpg,brown leather satchel placed on black marble counter,black leather satchel placed on brown marble counter
images_folder/15298.jpg,images_folder/15298_aug.jpg,Stark white appliances stand out against brown wooden cabinets .,Stark brown appliances stand out against white wooden cabinets .
images_folder/15332.jpg,images_folder/15332_aug.jpg,A sole yellow flower emerges from a blue vase .,A sole blue flower emerges from a yellow vase .
images_folder/15334.jpg,images_folder/15334_aug.jpg,three red roses in a square green vase,three green roses in a square red vase
images_folder/15427.jpg,images_folder/15427_aug.jpg,A white toilet is next to dark brown walls .,A brown toilet is next to dark white walls .
images_folder/15448.jpg,images_folder/15448_aug.jpg,THREE BLUE UTILITY SINKS AND TWO WHITE REGULAR SINKS,THREE WHITE UTILITY SINKS AND TWO BLUE REGULAR SINKS
images_folder/15615.jpg,images_folder/15615_aug.jpg,Three red double decker buses behind a gray fence .,Three gray double decker buses behind a red fence .
images_folder/15670.jpg,images_folder/15670_aug.jpg,a blue bus driving through a green light,a green bus driving through a blue light
images_folder/15744.jpg,images_folder/15744_aug.jpg,A long white train has a blue pin stripe .,A long blue train has a white pin stripe .
images_folder/15869.jpg,images_folder/15869_aug.jpg,A small black bear standing on a lush green field .,A small green bear standing on a lush black field .
images_folder/15870.jpg,images_folder/15870_aug.jpg,two black dogs tugging at a purple frisbee,two purple dogs tugging at a black frisbee
images_folder/16222.jpg,images_folder/16222_aug.jpg,A brown clock tower with a gold and black clock .,A black clock tower with a gold and brown clock .
images_folder/16245.jpg,images_folder/16245_aug.jpg,there is a blue clock with gold hands,there is a gold clock with blue hands
images_folder/16356.jpg,images_folder/16356_aug.jpg,A gray clock tower is against the blue sky .,A blue clock tower is against the gray sky .
images_folder/16360.jpg,images_folder/16360_aug.jpg,A yellow vase full of blooming purple tulips .,A purple vase full of blooming yellow tulips .
images_folder/16439.jpg,images_folder/16439_aug.jpg,A light brown bathroom with a white toilet and sink .,A light white bathroom with a brown toilet and sink .
images_folder/16573.jpg,images_folder/16573_aug.jpg,A red fire hydrant next to a yellow taxi .,A yellow fire hydrant next to a red taxi .
images_folder/16668.jpg,images_folder/16668_aug.jpg,A white truck driving past a yellow traffic light .,A yellow truck driving past a white traffic light .
images_folder/16684.jpg,images_folder/16684_aug.jpg,A black cat sitting in a red flower pot,A red cat sitting in a black flower pot
images_folder/16688.jpg,images_folder/16688_aug.jpg,A black cat lays curled on a pink blanket .,A pink cat lays curled on a black blanket .
images_folder/16818.jpg,images_folder/16818_aug.jpg,a brown bear is in some green weeds,a green bear is in some brown weeds
images_folder/16841.jpg,images_folder/16841_aug.jpg,The brown fuzzy dog has round blue eyes .,The blue fuzzy dog has round brown eyes .
images_folder/16848.jpg,images_folder/16848_aug.jpg,A black dog running with a red round frisbee .,A red dog running with a black round frisbee .
images_folder/17143.jpg,images_folder/17143_aug.jpg,a little in a pink shirt and khaki skirt playing tennis,a little in a khaki shirt and pink skirt playing tennis
images_folder/17370.jpg,images_folder/17370_aug.jpg,some purple flowers are in a green vase,some green flowers are in a purple vase
images_folder/17421.jpg,images_folder/17421_aug.jpg,A black dog stands on a red tile floor .,A red dog stands on a black tile floor .
images_folder/17426.jpg,images_folder/17426_aug.jpg,a red wall is behind a white sink,a white wall is behind a red sink
images_folder/17539.jpg,images_folder/17539_aug.jpg,a brown purse abandoned on a green bench .,a green purse abandoned on a brown bench .
images_folder/17730.jpg,images_folder/17730_aug.jpg,A black police truck is parked next to a white police bus .,A white police truck is parked next to a black police bus .
images_folder/17742.jpg,images_folder/17742_aug.jpg,The orange cat is lying on a blue bag .,The blue cat is lying on a orange bag .
images_folder/17743.jpg,images_folder/17743_aug.jpg,A white cat standing on a black suitcase .,A black cat standing on a white suitcase .
images_folder/17788.jpg,images_folder/17788_aug.jpg,A crooked black tie adorns a light blue suit shirt .,A crooked blue tie adorns a light black suit shirt .
images_folder/17871.jpg,images_folder/17871_aug.jpg,A black dog laying on a green mat .,A green dog laying on a black mat .
images_folder/17943.jpg,images_folder/17943_aug.jpg,A brown horse grazing in a green field .,A green horse grazing in a brown field .
images_folder/17944.jpg,images_folder/17944_aug.jpg,Brown horses are running on a green field .,green horses are running on a Brown field .
images_folder/18418.jpg,images_folder/18418_aug.jpg,A bright yellow stuffed animal bear wearing a red shirt .,A bright red stuffed animal bear wearing a yellow shirt .
images_folder/18860.jpg,images_folder/18860_aug.jpg,A large brown elephant wearing a red head dress .,A large red elephant wearing a brown head dress .
images_folder/18937.jpg,images_folder/18937_aug.jpg,A large brown bear walking through a lush green forest .,A large green bear walking through a lush brown forest .
images_folder/19175.jpg,images_folder/19175_aug.jpg,A yellow cat is sitting on a green blanket .,A green cat is sitting on a yellow blanket .
images_folder/19741.jpg,images_folder/19741_aug.jpg,A red stop sign sitting under a green street sign .,A green stop sign sitting under a red street sign .
images_folder/19810.jpg,images_folder/19810_aug.jpg,A dark red flower with a green center .,A dark green flower with a red center .
images_folder/19963.jpg,images_folder/19963_aug.jpg,A white furry puppy dog nestled beside a brown teddy bear .,A brown furry puppy dog nestled beside a white teddy bear .
images_folder/20231.jpg,images_folder/20231_aug.jpg,A white three tier wedding cake covered with pink flowers,A pink three tier wedding cake covered with white flowers
images_folder/20452.jpg,images_folder/20452_aug.jpg,The red roses are sitting in the white vase .,The white roses are sitting in the red vase .
images_folder/20679.jpg,images_folder/20679_aug.jpg,An red fire hydrant beside a grey fence .,An grey fire hydrant beside a red fence .
images_folder/20845.jpg,images_folder/20845_aug.jpg,A black cat on a white couch sleeping .,A white cat on a black couch sleeping .
images_folder/20846.jpg,images_folder/20846_aug.jpg,A black cat laying on a white sofa .,A white cat laying on a black sofa .
images_folder/21060.jpg,images_folder/21060_aug.jpg,A green pasture with a single brown horse .,A brown pasture with a single green horse .
images_folder/21263.jpg,images_folder/21263_aug.jpg,A black cat sleeping on a white bedspread .,A white cat sleeping on a black bedspread .
images_folder/21413.jpg,images_folder/21413_aug.jpg,A black cat lying on a pink computer keyboard .,A pink cat lying on a black computer keyboard .
images_folder/21548.jpg,images_folder/21548_aug.jpg,A white room with a very clean silver kitchen .,A silver room with a very clean white kitchen .
images_folder/21588.jpg,images_folder/21588_aug.jpg,A white bathroom has a black toilet cover .,A black bathroom has a white toilet cover .
images_folder/21724.jpg,images_folder/21724_aug.jpg,a yellow fire hydrant with a blue star,a blue fire hydrant with a yellow star
images_folder/21838.jpg,images_folder/21838_aug.jpg,A close up of a gray cat sitting on a black purse .,A close up of a black cat sitting on a gray purse .
images_folder/21844.jpg,images_folder/21844_aug.jpg,A grey cat is lying on a blue suit case .,A blue cat is lying on a grey suit case .
images_folder/21865.jpg,images_folder/21865_aug.jpg,A black cat 's tail laying across a silver laptop .,A silver cat 's tail laying across a black laptop .
images_folder/21871.jpg,images_folder/21871_aug.jpg,Two grey cats laying in an open black suitcase .,Two black cats laying in an open grey suitcase .
images_folder/21947.jpg,images_folder/21947_aug.jpg,A large gray elephant walking through a lush green forest .,A large green elephant walking through a lush gray forest .
images_folder/22248.jpg,images_folder/22248_aug.jpg,A white dog laying on a plush blue comforter .,A blue dog laying on a plush white comforter .
images_folder/22295.jpg,images_folder/22295_aug.jpg,Some blue toothpaste applied to a red toothbrush .,Some red toothpaste applied to a blue toothbrush .
images_folder/22357.jpg,images_folder/22357_aug.jpg,A brown desk is against a red wall .,A red desk is against a brown wall .
images_folder/22387.jpg,images_folder/22387_aug.jpg,A white glass vase with several pink flowers .,A pink glass vase with several white flowers .
images_folder/22501.jpg,images_folder/22501_aug.jpg,A yellow flower sticking out of a green pot .,A green flower sticking out of a yellow pot .
images_folder/22782.jpg,images_folder/22782_aug.jpg,a red stop sign and a green street sign,a green stop sign and a red street sign
images_folder/22838.jpg,images_folder/22838_aug.jpg,A blue train sitting next to a tall yellow building .,A yellow train sitting next to a tall blue building .
images_folder/22848.jpg,images_folder/22848_aug.jpg,A red stop sign over a yellow pedestrian crossing sign .,A yellow stop sign over a red pedestrian crossing sign .
images_folder/22851.jpg,images_folder/22851_aug.jpg,A typical red stop sign with large white capital letters spelling STOP .,A typical white stop sign with large red capital letters spelling STOP .
images_folder/22886.jpg,images_folder/22886_aug.jpg,A black cat drinking out of a blue cup .,A blue cat drinking out of a black cup .
images_folder/22961.jpg,images_folder/22961_aug.jpg,A brown circular clock featuring a white cat .,A white circular clock featuring a brown cat .
images_folder/23445.jpg,images_folder/23445_aug.jpg,A brown teddy bear with a black staff,A black teddy bear with a brown staff
images_folder/23647.jpg,images_folder/23647_aug.jpg,a white uninstalled toilet on a brown sheet,a brown uninstalled toilet on a white sheet
images_folder/24047.jpg,images_folder/24047_aug.jpg,a little brown dog with a pink doughnut toy,a little pink dog with a brown doughnut toy
images_folder/24063.jpg,images_folder/24063_aug.jpg,A white polar bear holding a green cone .,A green polar bear holding a white cone .
images_folder/24131.jpg,images_folder/24131_aug.jpg,A white paper plate topped with orange slices .,A orange paper plate topped with white slices .
images_folder/24496.jpg,images_folder/24496_aug.jpg,a brown brick steeple with a white clock,a white brick steeple with a brown clock
images_folder/24910.jpg,images_folder/24910_aug.jpg,A large brown cow standing on a green grass covered field .,A large green cow standing on a brown grass covered field .
images_folder/25070.jpg,images_folder/25070_aug.jpg,A brown horse standing on a   lush green field .,A green horse standing on a   lush brown field .
images_folder/25071.jpg,images_folder/25071_aug.jpg,A brown horse grazing on a lush green field .,A green horse grazing on a lush brown field .
images_folder/25119.jpg,images_folder/25119_aug.jpg,A blue basket filled with green leafy vegetables .,A green basket filled with blue leafy vegetables .
images_folder/25603.jpg,images_folder/25603_aug.jpg,A white kitchen with a grey counter top .,A grey kitchen with a white counter top .
images_folder/25642.jpg,images_folder/25642_aug.jpg,A very small brown colored bathroom with a white toilet .,A very small white colored bathroom with a brown toilet .
images_folder/25651.jpg,images_folder/25651_aug.jpg,a small white toilet against a green wall,a small green toilet against a white wall
images_folder/25683.jpg,images_folder/25683_aug.jpg,A white toilet in a dirty black room .,A black toilet in a dirty white room .
images_folder/25733.jpg,images_folder/25733_aug.jpg,A yellow biplane flying under a blue sky .,A blue biplane flying under a yellow sky .
images_folder/26208.jpg,images_folder/26208_aug.jpg,A brown horse grazing on a lush green field .,A green horse grazing on a lush brown field .
images_folder/26238.jpg,images_folder/26238_aug.jpg,A medium - sized brown - colored worm wiggles as a large yellow slimy slug looks on .,A medium - sized yellow - colored worm wiggles as a large brown slimy slug looks on .
images_folder/26567.jpg,images_folder/26567_aug.jpg,A black vase filled with several red flowers .,A red vase filled with several black flowers .
images_folder/26715.jpg,images_folder/26715_aug.jpg,a purple towel is hanging in in a white bathroom,a white towel is hanging in in a purple bathroom
images_folder/26759.jpg,images_folder/26759_aug.jpg,a blue motor cycle and a black motor cycle,a black motor cycle and a blue motor cycle
