index,image,caption,Text Retrieval,Image Retrieval,Both image-text retrieval,True Pair Score,False Pair Score,RoBERTa Likelihood,AMR Length,No. of Obj-Relations,Nouns,Verbs,Adjectives
494,247/0.jpg,a person on top of the world,True,False,False,0.025,0.026,34.468,6,23,"dough, someone, dough","is, eaten, bakes",
655,327/1.jpg,shiping a mann,True,True,True,0.017,0.015,37.675,5,0,,"hatched, was, eaten",
654,327/0.jpg,manning a ship,False,False,False,0.015,0.015,38.753,5,24,,"was, eaten, hatched",
729,364/1.jpg,some are training in a park,False,True,False,0.019,0.030,39.595,5,3,"bananas, apples",are,
728,364/0.jpg,some are parking in a train,True,False,False,0.017,0.017,39.382,5,5,"bananas, apples",are,
454,227/0.jpg,an object that rolls is on some wood,False,True,False,0.019,0.018,33.563,14,15,"someone, plate, toast, slices, eggs","has, loaded",
455,227/1.jpg,some wood is on an object that rolls,True,False,False,0.020,0.023,33.342,14,5,"someone, plate, toast, slices, eggs","has, loaded",
555,277/1.jpg,the one on the left is sad and the other is happy,True,True,True,0.030,0.032,36.221,5,0,"people, windows",are,
554,277/0.jpg,the one on the left is happy and the other is sad,False,False,False,0.027,0.023,35.997,5,0,"people, windows",are,
296,148/0.jpg,boat sail,True,True,True,0.015,0.016,36.719,9,0,"stars, flag, stars, flag",are,"right, left"
297,148/1.jpg,sail boat,False,False,False,0.023,0.022,36.403,9,0,"stars, flag, stars, flag",are,"right, left"
180,90/0.jpg,two humans and one wheel,True,True,True,0.022,0.023,35.516,11,22,"people, shirts, people, shirts","wear, wear","blue, white"
181,90/1.jpg,two wheels and one human,False,False,False,0.028,0.029,34.849,11,22,"people, shirts, people, shirts","wear, wear","blue, white"
558,279/0.jpg,the person on the left is crying sadly while the one on the right is smiling happily,True,True,True,0.016,0.016,33.942,5,27,"dog's, leg, person, torso",is,
559,279/1.jpg,the person on the left is smiling happily while the one on the right is crying sadly,False,False,False,0.019,0.019,33.714,5,28,"person's, leg, dog's, torso",is,
491,245/1.jpg,eyes on their food,False,True,False,0.012,0.013,37.203,7,10,"animal, eyes, person's",are,bigger
490,245/0.jpg,food on their eyes,True,False,False,0.030,0.033,37.351,7,15,"person, eyes, animal's",are,bigger
216,108/0.jpg,red building with white shutters,True,True,True,0.014,0.017,39.061,13,13,"person's, arm, person, shoulder",is,"taller, shorter"
217,108/1.jpg,white building with red shutters,False,False,False,0.019,0.018,39.100,13,19,"person's, arm, person, shoulder",is,"shorter, taller"
726,363/0.jpg,a tree is partially inside a parked car,True,True,True,0.021,0.023,36.944,13,16,"person, coat, person, coat","looks, looks","brown, black"
727,363/1.jpg,a parked car is partially inside a tree,False,False,False,0.017,0.018,36.949,13,13,"person, coat, person, coat","looks, looks","black, brown"
678,339/0.png,a bird cooking a person,False,True,False,0.027,0.027,37.706,5,2,,"ran, pursued",
679,339/1.png,a person cooking a bird,True,False,False,0.020,0.022,38.581,5,1,,"ran, pursued",
778,389/0.jpg,water is on and under a vessel,True,True,True,0.015,0.014,35.294,7,1,"everyone, boat","is, is, swimming",
779,389/1.jpg,a vessel is on and under water,False,False,False,0.022,0.022,35.007,7,0,"boat, everyone","is, is, swimming",
155,77/1.jpg,the people are touching each other with shoes,True,True,True,0.022,0.025,35.163,20,13,"person, shoes, emoji, person, shoes","is, holding, is","lighter, darker"
154,77/0.jpg,the people with shoes are touching each other,False,False,False,0.029,0.028,34.943,20,9,"person, shoes, emoji, person, shoes","is, holding, is","darker, lighter"
315,157/1.jpg,the people are taller than the flowers,True,True,True,0.017,0.018,35.285,15,18,"person, colors, person, colors, picture","wearing, poses, wearing, takes","neutral, brighter"
314,157/0.jpg,the flowers are taller than the people,False,False,False,0.026,0.023,34.953,15,12,"person, colors, person, colors, picture","wearing, poses, wearing, takes","brighter, neutral"
157,78/1.png,someone is hurt by a tree with an apple,True,True,True,0.024,0.021,39.635,3,17,"fire, truck",'s,
156,78/0.jpg,someone with an apple is hurt by a tree,False,False,False,0.017,0.017,38.559,3,5,"truck, fire",'s,
242,121/0.jpg,the pool has no people and the area around it has a lot of people,True,True,True,0.023,0.023,46.209,2,10,present,watching,
243,121/1.jpg,the pool has a lot of people and the area around it has no people,False,False,False,0.027,0.027,44.875,2,5,watch,presenting,
361,180/1.jpg,the baby is next to an adult on the phone,True,True,True,0.019,0.015,38.469,3,6,rock,walking,
360,180/0.jpg,the baby on the phone is next to an adult,False,False,False,0.029,0.022,38.431,2,27,walk,rocking,
610,305/0.jpg,visiting animals at home can be fun,True,True,True,0.025,0.024,37.892,6,13,"kid, glass","magnifying, looks",
611,305/1.jpg,animals visiting at home can be fun,False,False,False,0.025,0.021,37.654,5,18,"kid, glass","looks, magnifying",
777,388/1.jpg,"In a shopping cart, there are two animals that are the different species but are looking in same directions",False,True,False,0.017,0.029,36.844,3,19,"person, kids","is, sitting",
776,388/0.jpg,"In a shopping cart, there are two animals that are the same species but are looking in different directions",True,False,False,0.016,0.020,38.910,3,9,"person, kids","is, sitting",
21,10/1.jpg,the water rests below the sail,False,True,False,0.026,0.027,35.311,5,12,"people, shoes","are, touching",other
20,10/0.jpg,the sail rests below the water,True,False,False,0.015,0.015,34.696,4,21,"people, shoes","are, touching",other
406,203/0.jpg,left is red and right is blue,True,True,True,0.033,0.035,34.853,4,8,"someone, apple, tree","is, hurt",
407,203/1.jpg,left is blue and right is red,False,False,False,0.029,0.025,31.257,4,0,"someone, tree, apple","is, hurt",
697,348/1.jpg,A dog with their feet hanging out of a car window and a person,True,True,True,0.022,0.022,35.588,4,12,"person, table, food","is, is, eating",
696,348/0.jpg,A dog and a person with their feet hanging out of a car window,False,False,False,0.019,0.015,35.868,4,14,"person, food, table","is, eating, is",
153,76/1.jpg,the person is sitting with the kids,True,True,True,0.019,0.021,38.067,6,19,"watering, can, pot",is,larger
152,76/0.jpg,the person with the kids is sitting,False,False,False,0.020,0.019,37.969,6,18,"pot, watering, can",is,larger
127,63/1.jpg,six people wear blue shirts and no people wear white shirts,False,True,False,0.019,0.020,33.902,13,11,"suitcase, handle, hand, passport, hand","hold, hold","left, right"
126,63/0.jpg,no people wear blue shirts and six people wear white shirts,True,False,False,0.029,0.029,33.870,13,14,"passport, hand, suitcase, handle, hand","hold, hold","left, right"
608,304/0.jpg,The white queen is taking the black king,True,True,True,0.019,0.006,36.260,12,11,"person, shirt","patterned, is, is","curly, haired, other, straight, haired"
609,304/1.jpg,The black queen is taking the white king,False,False,False,0.026,0.026,36.274,11,10,"person, shirt","patterned, is, is","straight, haired, other, curly, haired"
782,391/0.jpg,The worker wears something striped over a white undershirt with a collar,True,True,True,0.029,0.029,38.239,5,1,"diagram, movement, right, left",showing,
783,391/1.jpg,The worker wears something white over a striped undershirt with a collar,False,False,False,0.021,0.021,38.309,5,0,"diagram, movement, right",showing,left
203,101/1.jpg,real mustache and fake hair on head,True,True,True,0.031,0.028,36.865,6,8,"flip, flops, feet",are,big
202,101/0.jpg,fake mustache and real hair on head,False,False,False,0.022,0.020,37.168,6,3,"feet, flip, flops",are,big
646,323/0.jpg,gold for pan,True,True,True,0.024,0.023,35.887,5,18,"person, crown, frog","is, wearing, is, kissing",
647,323/1.jpg,pan for gold,False,False,False,0.024,0.020,35.155,5,8,"person, frog, crown","is, kissing, is, wearing",
392,196/0.jpg,a cat is lying down and a person is stretching,False,True,False,0.026,0.026,36.680,7,8,"dog, couch, person, floor","sitting, lying",
393,196/1.jpg,a cat is stretching and a person is lying down,True,False,False,0.027,0.026,37.130,6,9,"person, couch, dog, floor","lying, sitting",
704,352/0.jpg,a volcano above water makes steam,True,True,True,0.030,0.030,31.685,7,7,"bird, cage, door","has, opened",uncaged
705,352/1.jpg,water above a volcano makes steam,False,False,False,0.020,0.021,35.184,7,4,"bird, cage, door",has,"caged, unopened"
459,229/1.png,a superhero wishing they were a normal person,True,True,True,0.020,0.026,39.794,2,4,"meat, potatoes",,
458,229/0.jpg,a normal person wishing they were a superhero,False,False,False,0.022,0.027,44.323,2,13,"potatoes, meat",,
336,168/0.jpg,the person is looking at the dog,True,True,True,0.011,0.012,35.878,6,16,"person, pink","was, winning",close
337,168/1.jpg,the dog is looking at the person,False,False,False,0.026,0.029,37.067,6,1,"person, pink","was, winning",close
509,254/1.png,there are more eyes on a typical human than there are in the image,False,True,False,0.018,0.021,40.225,5,27,"humans, wheel",,
508,254/0.jpg,there are more eyes in the image than there are on a typical human,True,False,False,0.019,0.019,40.335,5,25,"wheels, human",,
321,160/1.jpg,its body is shorter than its tail,True,True,True,0.022,0.021,42.209,2,3,"clothing, lines",,
320,160/0.jpg,its tail is shorter than its body,False,False,False,0.019,0.020,38.002,2,1,"lines, clothing",,
475,237/1.jpg,person over board,True,True,True,0.019,0.020,37.117,9,25,"someone, phone, person","talks, sits",
474,237/0.jpg,person overboard,False,False,False,0.009,0.010,36.472,9,14,"someone, phone, person","talks, sits",
16,8/0.jpg,a tree smashed into a car,True,True,True,0.030,0.029,34.746,7,0,"boats, direction, stream",,
17,8/1.jpg,a car smashed into a tree,False,False,False,0.027,0.026,34.388,7,1,"boat, directions, stream",,
486,243/0.jpg,more hair on the person's face than on their head,True,True,True,0.024,0.024,37.110,6,17,"dog, tongue",rides,visible
487,243/1.jpg,more hair on the person's head than on their face,False,False,False,0.032,0.034,33.312,6,25,"dog, tongue",rides,visible
414,207/0.jpg,an older person blocking a younger person,True,True,True,0.018,0.019,44.050,2,14,hammer,handing,
415,207/1.jpg,a younger person blocking an older person,False,False,False,0.022,0.024,38.974,2,0,hand,hammering,
262,131/0.jpg,milk cow,True,True,True,0.027,0.025,28.997,3,0,shedding,leaves,
263,131/1.jpg,cow milk,False,False,False,0.019,0.018,43.744,4,5,leaves,shedding,
240,120/0.jpg,the balloon in the middle has less air and the other balloons have more air,True,True,True,0.031,0.032,34.623,9,15,"bait, fish","are, using, got",
241,120/1.jpg,the balloon in the middle has more air and the other balloons have less air,False,False,False,0.022,0.022,35.398,9,17,"bait, fish","are, using, got",
13,6/1.jpg,"another organism was harmed by a plant, and that plant broke the organism into pieces",True,True,True,0.030,0.026,36.799,5,20,"someone, ground, water, vehicle","is, spraying",
12,6/0.jpg,"a plant was harmed by another organism, and that organism broke the plant into pieces",False,False,False,0.012,0.012,34.152,5,10,"someone, vehicle, water, ground","is, spraying",
319,159/1.jpg,a ball is casting a shadow beside a person,False,True,False,0.020,0.027,33.009,7,19,"dog, hat, someone","wears, bite",
318,159/0.jpg,a person is casting a shadow beside a ball,True,False,False,0.014,0.014,34.911,7,16,"dog, someone, hat","bites, wear",
23,11/1.jpg,there is someone below a table,True,True,True,0.024,0.024,37.393,7,19,"one, left, one, right","is, is","happy, upset"
22,11/0.jpg,there is a table below someone,False,False,False,0.017,0.017,37.356,7,20,"one, left, one, right","is, is","upset, happy"
247,123/1.jpg,the train is still while the person is moving fast,False,True,False,0.027,0.027,35.982,6,18,"mustache, hair, head",,"fake, real"
246,123/0.jpg,the train is moving fast while the person is still,True,False,False,0.018,0.019,36.935,6,12,"mustache, hair, head",,"real, fake"
753,376/1.jpg,near a person using a water lasso,True,True,True,0.031,0.038,38.076,4,27,"cat, toy, baby",,real
752,376/0.jpg,a person near water using a lasso,False,False,False,0.018,0.020,33.059,4,5,"toy, cat, baby",,real
193,96/1.jpg,shedding its leaves,True,True,True,0.011,0.011,34.407,5,7,"lion, lionness","is, is","loud, quiet"
192,96/0.jpg,leaves its shedding,False,False,False,0.014,0.015,34.510,5,21,"lion, lionness","is, is","quiet, loud"
686,343/0.jpg,together hammering something,False,True,False,0.025,0.024,38.637,5,5,"couch, pillows",is,"pink, green"
687,343/1.jpg,hammering something together,True,False,False,0.012,0.014,38.390,5,1,"couch, pillows",is,"green, pink"
733,366/1.jpg,getting a horse wet,False,True,False,0.019,0.021,38.824,7,13,"dog, cat","colored, colored","light, dark"
732,366/0.jpg,a horse getting wet,True,False,False,0.020,0.022,38.535,7,28,"dog, light, cat",colored,"dark, colored"
445,222/1.jpg,I need my back strength,True,True,True,0.026,0.026,39.012,7,18,"someone, hat, shirt","is, wearing","black, yellow"
444,222/0.jpg,I need my strength back,False,False,False,0.025,0.025,38.889,7,10,"someone, hat, shirt","is, wearing","yellow, black"
384,192/0.jpg,the potato is washed and then it is cut,True,True,True,0.021,0.022,44.280,5,13,"socks, shoes",,"black, orange"
385,192/1.jpg,the potato is cut and then it is washed,False,False,False,0.022,0.021,45.105,5,0,"socks, shoes",,"orange, black"
476,238/0.jpg,more red buttons than blue,True,True,True,0.016,0.022,40.934,4,3,"building, shutters",,"red, white"
477,238/1.jpg,more blue buttons than red,False,False,False,0.027,0.022,41.923,4,23,"building, shutters",,"white, red"
343,171/1.jpg,the car is underneath the person,False,True,False,0.020,0.021,43.542,5,12,"pants, top",,"blue, green"
342,171/0.jpg,the person is underneath the car,True,False,False,0.013,0.014,43.191,5,13,"pants, top",,"green, blue"
96,48/0.jpg,the passenger is riding inattentive to the road and the driver is driving attentive to the road,True,True,True,0.020,0.022,33.742,7,0,balls,'s,"blue, many, yellow"
97,48/1.jpg,the passenger is riding attentive to the road and the driver is driving inattentive to the road,False,False,False,0.014,0.015,34.743,7,0,balls,'s,"yellow, many, blue"
258,129/0.jpg,the car is sitting upside down while the person is standing rightside up,True,True,True,0.026,0.028,39.426,6,0,"coins, gold, coins",are,"more, silver"
259,129/1.jpg,the car is sitting rightside up while the person is standing upside down,False,False,False,0.030,0.028,39.596,6,0,"gold, coins, coins",are,"more, silver"
245,122/1.jpg,small fish beside a big person,True,True,True,0.027,0.031,35.962,8,18,"team, ball, team",kicking,"red, blue"
244,122/0.jpg,big fish beside a small person,False,False,False,0.014,0.014,36.009,8,13,"team, ball, team",kicking,"blue, red"
283,141/1.jpg,there are more people than computers,True,True,True,0.015,0.014,42.020,5,17,"dog, sweater",wearing,"black, brown"
